,ttime,pm1,pm2,pm3,am,sm,st,lum,temp,humd,pres
19341,2022-07-18 15:39:58,0.83,0.0,0.0,0.0,7463.0,25.65,6547.0,23.02,90.57,92849.25
0,2022-07-18 15:42:55,3.63,0.0,0.0,3.2,7813.0,25.65,15001.0,23.02,90.57,92849.25
19342,2022-07-18 15:44:55,1.39,0.0,0.0,0.0,7576.0,25.65,10249.0,23.47,88.37,92848.31
1,2022-07-18 15:47:55,4.19,0.0,0.0,4.8,7692.0,25.66,13863.0,23.47,88.37,92848.31
19343,2022-07-18 15:49:55,1.95,0.0,0.0,0.0,7576.0,25.66,12636.0,23.64,85.26,92844.82
2,2022-07-18 15:52:55,4.74,0.0,0.0,4.0,7813.0,25.67,13788.0,23.64,85.26,92844.82
19344,2022-07-18 15:54:55,2.51,0.0,0.0,0.0,7463.0,25.67,8318.0,23.62,85.93,92834.94
3,2022-07-18 15:57:55,5.3,0.0,0.0,4.8,7813.0,25.68,14383.0,23.62,85.93,92834.94
19345,2022-07-18 15:59:56,0.55,2.51,2.51,0.0,7463.0,25.68,4149.0,23.82,86.06,92815.25
4,2022-07-18 16:02:55,0.55,5.3,5.3,3.2,7813.0,25.69,14621.0,23.82,86.06,92815.25
19346,2022-07-18 16:04:55,1.11,2.51,2.51,0.0,7463.0,25.69,3238.0,24.27,82.98,92820.05
5,2022-07-18 16:07:55,1.11,5.3,5.3,4.0,7813.0,25.71,13782.0,24.27,82.98,92820.05
19347,2022-07-18 16:09:55,1.67,2.51,2.51,0.0,7463.0,25.71,11642.0,24.51,81.52,92806.69
6,2022-07-18 16:13:03,1.67,5.3,5.3,1.6,7813.0,25.72,12681.0,24.51,81.52,92806.69
19348,2022-07-18 16:14:55,2.23,2.51,2.51,0.0,7353.0,25.72,7291.0,24.53,80.96,92799.3
7,2022-07-18 16:17:55,2.23,5.3,5.3,6.4,7813.0,25.73,12226.0,24.53,80.96,92799.3
19349,2022-07-18 16:19:55,2.79,2.51,2.51,0.0,7463.0,25.73,11621.0,24.46,81.03,92812.62
8,2022-07-18 16:22:55,2.79,5.3,5.3,1.6,7813.0,25.74,10509.0,24.46,81.03,92812.62
19350,2022-07-18 16:24:56,3.35,2.51,2.51,0.0,7463.0,25.74,11515.0,24.28,81.64,92800.14
9,2022-07-18 16:27:55,3.35,5.3,5.3,3.2,7692.0,25.75,10041.0,24.28,81.64,92800.14
19351,2022-07-18 16:29:55,3.91,2.51,2.51,0.0,7463.0,25.75,7860.0,24.09,82.12,92806.87
10,2022-07-18 16:32:55,3.91,5.3,5.3,5.6,7692.0,25.76,8021.0,24.09,82.12,92806.87
19352,2022-07-18 16:34:56,4.47,2.51,2.51,0.0,7463.0,25.76,14701.0,23.88,83.13,92811.51
11,2022-07-18 16:37:55,4.47,5.3,5.3,4.0,7813.0,25.78,10340.0,23.88,83.13,92811.51
19353,2022-07-18 16:39:56,5.02,2.51,2.51,0.0,7463.0,25.78,10522.0,24.14,82.44,92815.61
12,2022-07-18 16:42:55,5.02,5.3,5.3,5.6,7692.0,25.79,9100.0,24.14,82.44,92815.61
19354,2022-07-18 16:44:56,5.58,2.51,2.51,0.0,7353.0,25.79,6386.0,24.06,82.05,92818.47
13,2022-07-18 16:47:55,5.58,5.3,5.3,2.4,7813.0,25.8,6426.0,24.06,82.05,92818.47
19355,2022-07-18 16:49:56,6.14,2.51,2.51,0.0,7576.0,25.8,12066.0,23.82,83.0,92825.56
14,2022-07-18 16:52:55,6.14,5.3,5.3,4.0,7692.0,25.8,9123.0,23.82,83.0,92825.56
19356,2022-07-18 16:54:56,6.7,2.51,2.51,0.0,7463.0,25.8,6242.0,23.9,82.83,92821.4
15,2022-07-18 16:57:55,6.7,5.3,5.3,1.6,7813.0,25.81,6325.0,23.9,82.83,92821.4
19357,2022-07-18 16:59:56,0.55,6.7,9.22,0.0,7463.0,25.81,3964.0,23.76,82.78,92823.04
16,2022-07-18 17:02:56,0.55,6.7,12.01,1.6,7813.0,25.83,4664.0,23.76,82.78,92823.04
19358,2022-07-18 17:04:56,1.11,6.7,9.22,0.0,7576.0,25.83,6295.0,23.45,84.56,92812.31
17,2022-07-18 17:07:56,1.11,6.7,12.01,4.8,7813.0,25.84,6575.0,23.45,84.56,92812.31
19359,2022-07-18 17:09:56,1.67,6.7,9.22,0.0,7463.0,25.84,5704.0,23.13,85.67,92809.82
18,2022-07-18 17:12:55,1.67,6.7,12.01,2.4,7692.0,25.85,4317.0,23.13,85.67,92809.82
19360,2022-07-18 17:14:56,2.23,6.7,9.22,0.0,7353.0,25.85,9084.0,23.01,87.55,92809.42
19,2022-07-18 17:17:55,2.23,6.7,12.01,3.2,7813.0,25.86,4846.0,23.01,87.55,92809.42
19361,2022-07-18 17:19:56,2.79,6.7,9.22,0.0,7353.0,25.86,7739.0,22.94,87.97,92812.91
20,2022-07-18 17:22:56,2.79,6.7,12.01,2.4,7692.0,25.86,6055.0,22.94,87.97,92812.91
19362,2022-07-18 17:24:56,3.35,6.7,9.22,0.0,7353.0,25.86,2669.0,22.95,88.78,92822.65
21,2022-07-18 17:27:56,3.35,6.7,12.01,2.4,7813.0,25.87,4671.0,22.95,88.78,92822.65
